单词,频次
映水光,1
难定,1
凌虚体,1
自轻,1
夜风,1
吹不灭,1
秋露,1
洗,1
还明,1
曾经,1
住,1
得,1
离,1
玉渊潭,2
近逢,1
夏夜,5
即,1
去,1
湖边,1
遛弯,1
每,1
挨近,1
黑,1
魆,2
灌林,1
总,2
禁不住,1
东张西望,1
朝,1
窸,2
窣窣,1
草丛,1
打听,1
什么,1
哪儿,1
捉迷藏,1
还是,2
被,2
风,1
刮,1
跑,2
扳指,1
一算,1
至少,1
二十余年,1
没,1
见,1
萤火虫,2
发源,1
于,1
西山,1
昆,1
玉河,1
加上,1
湖林塘苇,1
野鸭,1
堪称,1
京城,1
清洁,1
水,1
园子,1
惟,1
剩,1
野趣,1
地儿,1
湖冰,1
早,1
樱,1
美,1
即便如此,1
其,2
却,4
让,1
黯然神伤,1
那,3
一盏盏,1
清凉,1
似风,1
小,2
灯笼,1
明明灭灭,1
影影,1
幢幢,1
幽灵,1
连续,1
几个,1
夏季,1
一无所获,1
知道,1
对,1
水源,1
有,1
洁癖,1
萤虫,1
若,1
不,3
这,3
落脚,1
恐怕,1
城里,1
无处,2
投亲,1
天上,3
星星,2
地上,2
流萤,4
小时候,1
沉迷,1
两大,1
缘由,1
故乡,1
有个,1
说法,2
几多,2
星,2
萤,5
每捉,1
不敢,1
久留,1
先请,1
进小,1
玻璃瓶,1
凝神,1
一会儿,1
轻轻,1
吹,1
口气,1
送,1
世上,1
唯一,1
与,4
媲美,1
怎,1
忍心,1
凌虐,1
何况,1
还,1
怕,1
少,1
一颗,1
虽虫,1
民间,2
很少,1
以虫,1
称,1
之,1
绰号,1
数,1
过来,1
蚈,1
照,1
夜,1
光景,1
天挟,1
火宵,1
烛宵,1
行丹,1
鸟耀夜,1
熠耀,1
夜游,1
女子,1
喜欢,1
两个,1
腐草化,2
萤和囊,1
夜读,1
科学,1
证,1
伪,1
指成,1
迷信,1
虚构,1
想,1
大可不必,1
拿,2
这么,1
浪漫,3
事,1
开刀,1
古人,3
重,1
意境,1
梦游,1
擅长,1
诗意,2
地,1
消费,1
面对,1
这般,1
影影绰绰,1
人,1
精神,1
难道,1
不该,1
缥缈,1
些,1
化腐朽为神奇,1
多么,1
可爱,1
想象,3
多,2
心愿,1
较之,1
现代人,2
刻板,1
物理,2
生活,1
有种,1
务虚,1
之美,1
习惯,1
实证,1
标尺,1
丈量,1
世间,1
万物,1
可,1
审美,1
本,1
属于,1
世界,1
倘若,1
一切,1
要,1
服从,1
客观事实,1
神话,1
童话,1
诗歌,1
便,1
栖身,1
消失,1
并,1
不单单是,1
一个,1
物种,1
退场,1
代表,1
一种,1
古典,1
消亡,1
灯光,1
泛滥,1
水体,1
污染,1
农药,1
蔓延,1
一点点,1
吞噬,1
赖以生存,1
栖息地,1
拥有,1
明亮,1
夜晚,1
丢失,1
独有,1
温柔,1
遐想,1
掌握,1
客观真理,1
慢慢,1
失去,1
感知,1
接纳,1
能力,1
